Kennziffer;Raumeinheit;Aggregat;Haushaltseinkommen;Vorzeitige Sterblichkeit Männer
15003;Magdeburg, Stadt;kreisfreie Stadt;1.552,90;4,17
15081;Altmarkkreis Salzwedel;Landkreis;1.654,29;5,37
15082;Anhalt-Bitterfeld;Landkreis;1.619,58;5,95
15083;Börde;Landkreis;1.709,49;5,63
15084;Burgenlandkreis;Landkreis;1.608,98;5,89
15085;Harz;Landkreis;1.632,21;5,82
15086;Jerichower Land;Landkreis;1.697,31;5,85
15087;Mansfeld-Südharz;Landkreis;1.565,89;6,02
15088;Saalekreis;Landkreis;1.698,92;5,41
15089;Salzlandkreis;Landkreis;1.577,71;6,25
15090;Stendal;Landkreis;1.568,21;6,26
15091;Wittenberg;Landkreis;1.667,34;5,79
16051;Erfurt, Stadt;kreisfreie Stadt;1.586,74;4,34
16052;Gera, Stadt;kreisfreie Stadt;1.593,26;6,23
16053;Jena, Stadt;kreisfreie Stadt;1.567,28;2,83
16054;Suhl, Stadt;kreisfreie Stadt;1.654,33;6,15
16055;Weimar, Stadt;kreisfreie Stadt;1.572,18;4,14
16056;Eisenach, Stadt;kreisfreie Stadt;1.600,00;4,51
16061;Eichsfeld;Landkreis;1.649,03;3,85
16062;Nordhausen;Landkreis;1.542,64;5,03
16063;Wartburgkreis;Landkreis;1.757,66;5
16064;Unstrut-Hainich-Kreis;Landkreis;1.557,08;5,1
16065;Kyffhäuserkreis;Landkreis;1.520,15;6,23
16066;Schmalkalden-Meiningen;Landkreis;1.637,70;5,05
16067;Gotha;Landkreis;1.603,05;5,09
16068;Sömmerda;Landkreis;1.591,68;4,76
16069;Hildburghausen;Landkreis;1.674,15;5,09
16070;Ilm-Kreis;Landkreis;1.624,29;4,65
16071;Weimarer Land;Landkreis;1.624,91;5,17
16072;Sonneberg;Landkreis;1.627,75;6,31
16073;Saalfeld-Rudolstadt;Landkreis;1.675,52;5,04
16074;Saale-Holzland-Kreis;Landkreis;1.654,15;4,26
16075;Saale-Orla-Kreis;Landkreis;1.626,09;5,38
16076;Greiz;Landkreis;1.665,67;4,87
16077;Altenburger Land;Landkreis;1.622,70;5,44
