Kennziffer;Raumeinheit;Aggregat;Haushaltseinkommen
"09673";"Rhön-Grabfeld";"Landkreis";"1.875,63"
"09674";"Haßberge";"Landkreis";"1.819,94"
"09675";"Kitzingen";"Landkreis";"1.950,16"
"09676";"Miltenberg";"Landkreis";"1.921,54"
"09677";"Main-Spessart";"Landkreis";"1.933,52"
"09678";"Schweinfurt";"Landkreis";"1.887,35"
"09679";"Würzburg";"Landkreis";"1.956,19"
"09761";"Augsburg, Stadt";"kreisfreie Stadt";"1.664,63"
"09762";"Kaufbeuren, Stadt";"kreisfreie Stadt";"1.919,43"
"09763";"Kempten (Allgäu), Stadt";"kreisfreie Stadt";"1.839,27"
"09764";"Memmingen, Stadt";"kreisfreie Stadt";"2.301,45"
"09771";"Aichach-Friedberg";"Landkreis";"2.166,11"
"09772";"Augsburg";"Landkreis";"2.099,67"
"09773";"Dillingen a.d.Donau";"Landkreis";"2.023,90"
"09774";"Günzburg";"Landkreis";"2.011,97"
"09775";"Neu-Ulm";"Landkreis";"2.010,00"
"09776";"Lindau (Bodensee)";"Landkreis";"2.171,45"
"09777";"Ostallgäu";"Landkreis";"1.997,15"
"09778";"Unterallgäu";"Landkreis";"2.070,01"
"09779";"Donau-Ries";"Landkreis";"2.032,84"
"09780";"Oberallgäu";"Landkreis";"2.054,45"
"10041";"Regionalverband Saarbrücken";"Landkreis";"1.618,89"
"10042";"Merzig-Wadern";"Landkreis";"1.568,41"
"10043";"Neunkirchen";"Landkreis";"1.662,94"
"10044";"Saarlouis";"Landkreis";"1.727,50"
"10045";"Saarpfalz-Kreis";"Landkreis";"1.908,54"
"10046";"St. Wendel";"Landkreis";"1.788,52"
"11000";"Berlin, Stadt";"kreisfreie Stadt";"1.674,32"
"12051";"Brandenburg an der Havel, Stadt";"kreisfreie Stadt";"1.519,05"
"12052";"Cottbus, Stadt";"kreisfreie Stadt";"1.539,04"
"12053";"Frankfurt (Oder), Stadt";"kreisfreie Stadt";"1.472,30"
"12054";"Potsdam, Stadt";"kreisfreie Stadt";"1.773,07"
"12060";"Barnim";"Landkreis";"1.697,85"
"12061";"Dahme-Spreewald";"Landkreis";"1.750,70"
"12062";"Elbe-Elster";"Landkreis";"1.560,97"
"12063";"Havelland";"Landkreis";"1.690,22"
"12064";"Märkisch-Oderland";"Landkreis";"1.693,98"
"12065";"Oberhavel";"Landkreis";"1.743,33"
"12066";"Oberspreewald-Lausitz";"Landkreis";"1.609,42"
"12067";"Oder-Spree";"Landkreis";"1.674,52"
"12068";"Ostprignitz-Ruppin";"Landkreis";"1.569,96"
"12069";"Potsdam-Mittelmark";"Landkreis";"1.883,17"
"12070";"Prignitz";"Landkreis";"1.581,65"
"12071";"Spree-Neiße";"Landkreis";"1.650,66"
"12072";"Teltow-Fläming";"Landkreis";"1.679,35"
"12073";"Uckermark";"Landkreis";"1.510,09"
"13003";"Rostock, Stadt";"kreisfreie Stadt";"1.534,39"
"13004";"Schwerin, Stadt";"kreisfreie Stadt";"1.586,77"
"13071";"Mecklenburgische Seenplatte";"Landkreis";"1.571,28"
"13072";"Landkreis Rostock";"Landkreis";"1.669,15"
"13073";"Vorpommern-Rügen";"Landkreis";"1.598,09"
"13074";"Nordwestmecklenburg";"Landkreis";"1.615,53"
"13075";"Vorpommern-Greifswald";"Landkreis";"1.510,40"
"13076";"Ludwigslust-Parchim";"Landkreis";"1.669,20"
"14511";"Chemnitz, Stadt";"kreisfreie Stadt";"1.643,35"
"14521";"Erzgebirgskreis";"Landkreis";"1.654,74"
"14522";"Mittelsachsen";"Landkreis";"1.661,39"
"14523";"Vogtlandkreis";"Landkreis";"1.652,78"
"14524";"Zwickau";"Landkreis";"1.692,89"
"14612";"Dresden, Stadt";"kreisfreie Stadt";"1.634,30"
"14625";"Bautzen";"Landkreis";"1.670,49"
"14626";"Görlitz";"Landkreis";"1.566,82"
"14627";"Meißen";"Landkreis";"1.723,51"
"14628";"Sächsische Schweiz-Osterzgebirge";"Landkreis";"1.697,66"
"14713";"Leipzig, Stadt";"kreisfreie Stadt";"1.558,70"
"14729";"Leipzig";"Landkreis";"1.764,23"
"14730";"Nordsachsen";"Landkreis";"1.667,92"
"15001";"Dessau-Roßlau, Stadt";"kreisfreie Stadt";"1.618,50"
"15002";"Halle (Saale), Stadt";"kreisfreie Stadt";"1.466,22"
